gutenberg_id,text,title
1513,Should in the farthest east begin to draw,Romeo and Juliet
1513,"The shady curtains from Aurora's bed,",Romeo and Juliet
1513,"Away from light steals home my heavy son,",Romeo and Juliet
1513,And private in his chamber pens himself;,Romeo and Juliet
1513,"Shuts up his windows, locks fair daylight out",Romeo and Juliet
1513,And makes himself an artificial night:,Romeo and Juliet
1513,"Black and portentous must this humour prove,",Romeo and Juliet
1513,Unless good counsel may the cause remove.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"My noble uncle, do you know the cause?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,I neither know it nor can learn of him.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Have you importun'd him by any means?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,Both by myself and many other friends;,Romeo and Juliet
1513,"But he, his own affections' counsellor,",Romeo and Juliet
1513,"Is to himself,--I will not say how true,--",Romeo and Juliet
1513,"But to himself so secret and so close,",Romeo and Juliet
1513,"So far from sounding and discovery,",Romeo and Juliet
1513,As is the bud bit with an envious worm,Romeo and Juliet
1513,"Ere he can spread his sweet leaves to the air,",Romeo and Juliet
1513,Or dedicate his beauty to the sun.,Romeo and Juliet
1513,"Could we but learn from whence his sorrows grow,",Romeo and Juliet
1513,We would as willingly give cure as know.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"See, where he comes: so please you step aside;",Romeo and Juliet
1513,I'll know his grievance or be much denied.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,I would thou wert so happy by thy stay,Romeo and Juliet
1513,"To hear true shrift.--Come, madam, let's away,",Romeo and Juliet
1513,,Romeo and Juliet
1513,[Exeunt Montague and Lady.],Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Romeo.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Good morrow, cousin.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,Is the day so young?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,But new struck nine.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,Ay me! sad hours seem long.,Romeo and Juliet
1513,Was that my father that went hence so fast?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,It was.--What sadness lengthens Romeo's hours?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
